"clade","mod_species","species_count","subclade","cladeorder","clade2","plot_order"
"none","thermotolerans",2,0,14,"noneNA",1
"none","hussainii",2,0,14,"noneNA",2
"none","indica",3,0,14,"noneNA",3
"none","alcaligenes",4,0,14,"noneNA",4
"none","flexibilis",5,0,14,"noneNA",5
"pertucinogena","pachastrellae",2,0,13,"pertucinogenaNA",6
"pertucinogena","aestusnigri",2,0,13,"pertucinogenaNA",7
"pertucinogena","abyssi",2,0,13,"pertucinogenaNA",8
"pertucinogena","bauzanensis",3,0,13,"pertucinogenaNA",9
"resinovorans","resinovorans",2,0,11,"resinovoransNA",10
"resinovorans","otitidis",17,0,11,"resinovoransNA",11
"oryzihabitans","luteola_group",9,0,10,"oryzihabitansNA",12
"oryzihabitans","oryzihabitans_group",18,0,10,"oryzihabitansNA",13
"aeruginosa","knackmussii",2,0,9,"aeruginosaNA",14
"aeruginosa","jinjuensis",2,0,9,"aeruginosaNA",15
"aeruginosa","nitroreducens",8,0,9,"aeruginosaNA",16
"aeruginosa","citronellolis_group",18,0,9,"aeruginosaNA",17
"aeruginosa","aeruginosa",4394,0,9,"aeruginosaNA",18
"stutzeri","xanthomarina",2,0,8,"stutzeriNA",19
"stutzeri","balearica",6,0,8,"stutzeriNA",20
"stutzeri","chloritidismutans_group",12,0,8,"stutzeriNA",21
"stutzeri","stutzeri",46,0,8,"stutzeriNA",22
"oleovorans","composti",2,0,7,"oleovoransNA",23
"oleovorans","mendocina",10,0,7,"oleovoransNA",24
"oleovorans","oleovorans_group",13,0,7,"oleovoransNA",25
"oleovorans","alcaliphila_group",19,0,7,"oleovoransNA",26
"straminea","flavescens",2,0,6,"stramineaNA",27
"straminea","argentinensis",2,0,6,"stramineaNA",28
"straminea","straminea",2,0,6,"stramineaNA",29
"straminea","seleniipraecipitans",2,0,6,"stramineaNA",30
"anguilliseptica","segetis",2,0,5,"anguillisepticaNA",31
"anguilliseptica","anguilliseptica",2,0,5,"anguillisepticaNA",32
"anguilliseptica","cuatrocienegasensis",2,0,5,"anguillisepticaNA",33
"anguilliseptica","peli",3,0,5,"anguillisepticaNA",34
"anguilliseptica","marincola",4,0,5,"anguillisepticaNA",35
"putida","vranovensis",2,0,4,"putidaNA",36
"putida","alkylphenolica",2,0,4,"putidaNA",37
"putida","japonica",2,0,4,"putidaNA",38
"putida","parafulva",3,0,4,"putidaNA",39
"putida","capeferrum",4,0,4,"putidaNA",40
"putida","taiwanensis",4,0,4,"putidaNA",41
"putida","donghuensis",4,0,4,"putidaNA",42
"putida","coleopterorum",4,0,4,"putidaNA",43
"putida","plecoglossicida",5,0,4,"putidaNA",44
"putida","guariconensis",7,0,4,"putidaNA",45
"putida","mosselii",8,0,4,"putidaNA",46
"putida","putida",8,0,4,"putidaNA",47
"putida","soli",15,0,4,"putidaNA",48
"putida","fulva",25,0,4,"putidaNA",49
"putida","monteilii",35,0,4,"putidaNA",50
"lutea","abietaniphila",3,0,3,"luteaNA",51
"lutea","graminis",3,0,3,"luteaNA",52
"syringae","asturiensis",2,0,2,"syringaeNA",53
"syringae","cichorii",5,0,2,"syringaeNA",54
"syringae","cannabina",9,0,2,"syringaeNA",55
"syringae","caricapapayae",11,0,2,"syringaeNA",56
"syringae","congelans",15,0,2,"syringaeNA",57
"syringae","tremae",72,0,2,"syringaeNA",58
"syringae","avellanae",128,0,2,"syringaeNA",59
"syringae","amygdali_group",131,0,2,"syringaeNA",60
"syringae","syringae",134,0,2,"syringaeNA",61
"syringae","viridiflava",1334,0,2,"syringaeNA",62
"fluorescens","deceptionensis",2,5,1,"fluorescens5",63
"fluorescens","taetrolens",4,5,1,"fluorescens5",64
"fluorescens","weihenstephanensis",4,5,1,"fluorescens5",65
"fluorescens","psychrophila",6,5,1,"fluorescens5",66
"fluorescens","fragi",11,5,1,"fluorescens5",67
"fluorescens","helleri",15,5,1,"fluorescens5",68
"fluorescens","lundensis",22,5,1,"fluorescens5",69
"fluorescens","agarici",3,4,1,"fluorescens4",70
"fluorescens","asplenii_group",4,4,1,"fluorescens4",71
"fluorescens","saponiphila",5,3,1,"fluorescens3",72
"fluorescens","protegens",52,3,1,"fluorescens3",73
"fluorescens","chlororaphis",70,3,1,"fluorescens3",74
"fluorescens","granadensis",2,2,1,"fluorescens2",75
"fluorescens","moorei",2,2,1,"fluorescens2",76
"fluorescens","koreensis",3,2,1,"fluorescens2",77
"fluorescens","helmanticensis",3,2,1,"fluorescens2",78
"fluorescens","migulae",3,2,1,"fluorescens2",79
"fluorescens","vancouverensis",3,2,1,"fluorescens2",80
"fluorescens","reinekei",4,2,1,"fluorescens2",81
"fluorescens","mohnii",4,2,1,"fluorescens2",82
"fluorescens","thivervalensis",4,2,1,"fluorescens2",83
"fluorescens","baetica",4,2,1,"fluorescens2",84
"fluorescens","umsongensis",5,2,1,"fluorescens2",85
"fluorescens","corrugata",6,2,1,"fluorescens2",86
"fluorescens","lini",6,2,1,"fluorescens2",87
"fluorescens","moraviensis",6,2,1,"fluorescens2",88
"fluorescens","frederiksbergensis",7,2,1,"fluorescens2",89
"fluorescens","mediterranea",7,2,1,"fluorescens2",90
"fluorescens","prosekii",8,2,1,"fluorescens2",91
"fluorescens","jessenii",12,2,1,"fluorescens2",92
"fluorescens","brassicacearum_group",30,2,1,"fluorescens2",93
"fluorescens","mandelii",36,2,1,"fluorescens2",94
"fluorescens","grimontii",2,1,1,"fluorescens1",95
"fluorescens","antarctica",2,1,1,"fluorescens1",96
"fluorescens","cedrina",3,1,1,"fluorescens1",97
"fluorescens","trivialis",3,1,1,"fluorescens1",98
"fluorescens","yamanorum",3,1,1,"fluorescens1",99
"fluorescens","mucidolens",4,1,1,"fluorescens1",100
"fluorescens","brenneri",5,1,1,"fluorescens1",101
"fluorescens","extremaustralis",5,1,1,"fluorescens1",102
"fluorescens","gessardii",5,1,1,"fluorescens1",103
"fluorescens","azotoformans",5,1,1,"fluorescens1",104
"fluorescens","tolaasii",5,1,1,"fluorescens1",105
"fluorescens","palleroniana",5,1,1,"fluorescens1",106
"fluorescens","orientalis",6,1,1,"fluorescens1",107
"fluorescens","poae",8,1,1,"fluorescens1",108
"fluorescens","proteolytica",8,1,1,"fluorescens1",109
"fluorescens","fluorescens",10,1,1,"fluorescens1",110
"fluorescens","salomonii",12,1,1,"fluorescens1",111
"fluorescens","simiae",13,1,1,"fluorescens1",112
"fluorescens","rhodesiae",14,1,1,"fluorescens1",113
"fluorescens","synxantha_group",16,1,1,"fluorescens1",114
"fluorescens","marginalis",18,1,1,"fluorescens1",115
"fluorescens","lurida",19,1,1,"fluorescens1",116
"fluorescens","extremorientalis",19,1,1,"fluorescens1",117
"fluorescens","panacis",23,1,1,"fluorescens1",118
